---
title: Causes of Death in France from 1925 to 1999
source: The data is made available by INED <www.ined.fr> at
  <https://www.ined.fr/en/everything_about_population/data/online-databases/death_causes_since_1925/>
  The original data authors are Jacques Vallin <vallin@ined.fr> and France
  Meslé <mesle@ined.fr>.
variables:
    year : period calendar year
    sex  : -
    age  : age groups in years [a, b]
    cod  : cause of death category (ICD-9 code)
    dx   : number of deaths
note: The data was downloaded in June 2014 in the form of `html` tables made
  availabe by the INED web interface. It was then converted into `.csv` format
  and aggregated into the current form.
author: Jonas Schöley <jonas.schoeley@kolabnow.com>
date: 2015-08-19
...

year,sex,age,cod,dx
1940,female,40-44,000*-999*,9056
1941,female,40-44,000*-999*,8541
1942,female,40-44,000*-999*,7749
1943,female,40-44,000*-999*,7511
1944,female,40-44,000*-999*,9008
1945,female,40-44,000*-999*,6762
1946,female,40-44,000*-999*,5847
1947,female,40-44,000*-999*,5321
1948,female,40-44,000*-999*,5252
1949,female,40-44,000*-999*,5483
1950,female,40-44,000*-999*,5008
1951,female,40-44,000*-999*,4902
1952,female,40-44,000*-999*,4669
1953,female,40-44,000*-999*,4583
1954,female,40-44,000*-999*,4284
1955,female,40-44,000*-999*,3871
1956,female,40-44,000*-999*,3442
1957,female,40-44,000*-999*,3008
1958,female,40-44,000*-999*,2406
1959,female,40-44,000*-999*,2266
1960,female,40-44,000*-999*,2470
1961,female,40-44,000*-999*,2647
1962,female,40-44,000*-999*,3151
1963,female,40-44,000*-999*,3608
1964,female,40-44,000*-999*,3677
1965,female,40-44,000*-999*,3596
1966,female,40-44,000*-999*,3565
1967,female,40-44,000*-999*,3484
1968,female,40-44,000*-999*,3498
1969,female,40-44,000*-999*,3513
1970,female,40-44,000*-999*,3439
1971,female,40-44,000*-999*,3384
1972,female,40-44,000*-999*,3448
1973,female,40-44,000*-999*,3284
1974,female,40-44,000*-999*,3157
1975,female,40-44,000*-999*,3044
1976,female,40-44,000*-999*,2910
1977,female,40-44,000*-999*,2646
1978,female,40-44,000*-999*,2592
1979,female,40-44,000*-999*,2541
1980,female,40-44,000*-999*,2500
1981,female,40-44,000*-999*,2320
1982,female,40-44,000*-999*,2232
1983,female,40-44,000*-999*,2217
1984,female,40-44,000*-999*,2226
1985,female,40-44,000*-999*,2120
1986,female,40-44,000*-999*,2411
1987,female,40-44,000*-999*,2552
1988,female,40-44,000*-999*,2720
1989,female,40-44,000*-999*,2938
1990,female,40-44,000*-999*,2896
1991,female,40-44,000*-999*,3012
1992,female,40-44,000*-999*,2951
1993,female,40-44,000*-999*,3068
1994,female,40-44,000*-999*,2893
1995,female,40-44,000*-999*,3068
1996,female,40-44,000*-999*,2959
1997,female,40-44,000*-999*,2842
1998,female,40-44,000*-999*,2872
1999,female,40-44,000*-999*,2918
1925,female,45-49,000*-999*,12095
1926,female,45-49,000*-999*,12269
1927,female,45-49,000*-999*,11273
1928,female,45-49,000*-999*,10947
1929,female,45-49,000*-999*,11987
1930,female,45-49,000*-999*,11405
1931,female,45-49,000*-999*,11514
1932,female,45-49,000*-999*,11216
1933,female,45-49,000*-999*,11358
1934,female,45-49,000*-999*,10679
1935,female,45-49,000*-999*,11224
1936,female,45-49,000*-999*,10488
1937,female,45-49,000*-999*,10269
1938,female,45-49,000*-999*,10647
1939,female,45-49,000*-999*,9925
1940,female,45-49,000*-999*,11045
1941,female,45-49,000*-999*,10539
1942,female,45-49,000*-999*,9567
1943,female,45-49,000*-999*,8968
1944,female,45-49,000*-999*,10634
1945,female,45-49,000*-999*,8467
1946,female,45-49,000*-999*,7172
1947,female,45-49,000*-999*,7229
1948,female,45-49,000*-999*,7164
1949,female,45-49,000*-999*,7322
1950,female,45-49,000*-999*,7207
1951,female,45-49,000*-999*,7293
1952,female,45-49,000*-999*,6733
1953,female,45-49,000*-999*,6840
1954,female,45-49,000*-999*,6436
1955,female,45-49,000*-999*,6342
1956,female,45-49,000*-999*,6227
1957,female,45-49,000*-999*,5885
1958,female,45-49,000*-999*,5303
1959,female,45-49,000*-999*,5188
1960,female,45-49,000*-999*,4961
1961,female,45-49,000*-999*,4314
1962,female,45-49,000*-999*,4031
1963,female,45-49,000*-999*,3647
1964,female,45-49,000*-999*,3116
1965,female,45-49,000*-999*,3661
1966,female,45-49,000*-999*,4101
1967,female,45-49,000*-999*,4499
1968,female,45-49,000*-999*,5087
1969,female,45-49,000*-999*,5547
1970,female,45-49,000*-999*,5060
1971,female,45-49,000*-999*,5184
1972,female,45-49,000*-999*,5096
1973,female,45-49,000*-999*,4940
1974,female,45-49,000*-999*,4828
1975,female,45-49,000*-999*,4803
1976,female,45-49,000*-999*,4737
1977,female,45-49,000*-999*,4508
1978,female,45-49,000*-999*,4459
1979,female,45-49,000*-999*,4173
1980,female,45-49,000*-999*,4116
1981,female,45-49,000*-999*,3866
1982,female,45-49,000*-999*,3685
1983,female,45-49,000*-999*,3614
1984,female,45-49,000*-999*,3490
1985,female,45-49,000*-999*,3260
1986,female,45-49,000*-999*,3152
1987,female,45-49,000*-999*,3036
1988,female,45-49,000*-999*,3087
1989,female,45-49,000*-999*,2970
1990,female,45-49,000*-999*,3019
1991,female,45-49,000*-999*,3284
1992,female,45-49,000*-999*,3516
1993,female,45-49,000*-999*,3839
1994,female,45-49,000*-999*,4043
1995,female,45-49,000*-999*,4328
1996,female,45-49,000*-999*,4266
1997,female,45-49,000*-999*,4278
1998,female,45-49,000*-999*,4086
1999,female,45-49,000*-999*,4218
1925,female,50-54,000*-999*,14881
1926,female,50-54,000*-999*,15461
1927,female,50-54,000*-999*,14549
1928,female,50-54,000*-999*,14177
1929,female,50-54,000*-999*,15351
1930,female,50-54,000*-999*,13929
1931,female,50-54,000*-999*,14001
1932,female,50-54,000*-999*,13855
1933,female,50-54,000*-999*,13785
1934,female,50-54,000*-999*,13404
1935,female,50-54,000*-999*,14332
1936,female,50-54,000*-999*,13892
1937,female,50-54,000*-999*,13468
1938,female,50-54,000*-999*,13627
1939,female,50-54,000*-999*,12574
1940,female,50-54,000*-999*,13998
1941,female,50-54,000*-999*,13195
1942,female,50-54,000*-999*,12064
1943,female,50-54,000*-999*,11348
1944,female,50-54,000*-999*,12978
1945,female,50-54,000*-999*,10794
1946,female,50-54,000*-999*,9787
1947,female,50-54,000*-999*,9652
1948,female,50-54,000*-999*,9365
1949,female,50-54,000*-999*,10023
1950,female,50-54,000*-999*,9729
1951,female,50-54,000*-999*,10117
1952,female,50-54,000*-999*,9688
1953,female,50-54,000*-999*,10007
1954,female,50-54,000*-999*,9294
1955,female,50-54,000*-999*,9173
1956,female,50-54,000*-999*,9169
1957,female,50-54,000*-999*,8729
1958,female,50-54,000*-999*,7953
1959,female,50-54,000*-999*,7947
1960,female,50-54,000*-999*,7954
1961,female,50-54,000*-999*,7358
1962,female,50-54,000*-999*,7654
1963,female,50-54,000*-999*,7660
1964,female,50-54,000*-999*,7471
1965,female,50-54,000*-999*,6858
1966,female,50-54,000*-999*,6248
1967,female,50-54,000*-999*,5643
1968,female,50-54,000*-999*,4857
1969,female,50-54,000*-999*,4576
1970,female,50-54,000*-999*,5026
1971,female,50-54,000*-999*,5645
1972,female,50-54,000*-999*,6276
1973,female,50-54,000*-999*,6639
1974,female,50-54,000*-999*,7253
1975,female,50-54,000*-999*,7048
1976,female,50-54,000*-999*,6877
1977,female,50-54,000*-999*,6421
1978,female,50-54,000*-999*,6408
1979,female,50-54,000*-999*,6388
1980,female,50-54,000*-999*,6254
1981,female,50-54,000*-999*,5947
1982,female,50-54,000*-999*,5892
1983,female,50-54,000*-999*,5918
1984,female,50-54,000*-999*,5535
1985,female,50-54,000*-999*,5464
1986,female,50-54,000*-999*,5222
1987,female,50-54,000*-999*,4947
1988,female,50-54,000*-999*,4824
1989,female,50-54,000*-999*,4596
1990,female,50-54,000*-999*,4354
1991,female,50-54,000*-999*,4121
1992,female,50-54,000*-999*,3988
1993,female,50-54,000*-999*,4036
1994,female,50-54,000*-999*,4043
1995,female,50-54,000*-999*,4078
1996,female,50-54,000*-999*,4557
1997,female,50-54,000*-999*,4985
1998,female,50-54,000*-999*,5176
1999,female,50-54,000*-999*,5501
1925,female,55-59,000*-999*,17831
1926,female,55-59,000*-999*,17461
1927,female,55-59,000*-999*,16494
1928,female,55-59,000*-999*,16861
1929,female,55-59,000*-999*,18210
1930,female,55-59,000*-999*,17409
1931,female,55-59,000*-999*,18511
1932,female,55-59,000*-999*,18137
1933,female,55-59,000*-999*,18522
1934,female,55-59,000*-999*,17335
1935,female,55-59,000*-999*,18110
1936,female,55-59,000*-999*,17091
1937,female,55-59,000*-999*,16765
1938,female,55-59,000*-999*,17011
1939,female,55-59,000*-999*,16118
1940,female,55-59,000*-999*,18636
1941,female,55-59,000*-999*,17045
1942,female,55-59,000*-999*,16036
1943,female,55-59,000*-999*,15072
1944,female,55-59,000*-999*,16691
1945,female,55-59,000*-999*,14201
1946,female,55-59,000*-999*,13121
1947,female,55-59,000*-999*,12302
1948,female,55-59,000*-999*,12272
1949,female,55-59,000*-999*,13119
1950,female,55-59,000*-999*,12712
1951,female,55-59,000*-999*,13507
1952,female,55-59,000*-999*,12661
1953,female,55-59,000*-999*,13182
1954,female,55-59,000*-999*,12497
1955,female,55-59,000*-999*,12252
1956,female,55-59,000*-999*,12229
1957,female,55-59,000*-999*,11915
1958,female,55-59,000*-999*,11049
1959,female,55-59,000*-999*,11277
1960,female,55-59,000*-999*,11115
1961,female,55-59,000*-999*,10580
1962,female,55-59,000*-999*,10902
1963,female,55-59,000*-999*,11088
1964,female,55-59,000*-999*,10504
1965,female,55-59,000*-999*,10743
1966,female,55-59,000*-999*,10219
1967,female,55-59,000*-999*,10101
1968,female,55-59,000*-999*,10207
1969,female,55-59,000*-999*,10292
1970,female,55-59,000*-999*,8919
1971,female,55-59,000*-999*,8280
1972,female,55-59,000*-999*,7274
1973,female,55-59,000*-999*,6314
1974,female,55-59,000*-999*,5679
1975,female,55-59,000*-999*,6385
1976,female,55-59,000*-999*,7217
1977,female,55-59,000*-999*,7808
1978,female,55-59,000*-999*,8574
1979,female,55-59,000*-999*,9084
1980,female,55-59,000*-999*,8700
1981,female,55-59,000*-999*,8407
1982,female,55-59,000*-999*,8234
1983,female,55-59,000*-999*,8166
1984,female,55-59,000*-999*,7928
1985,female,55-59,000*-999*,7824
1986,female,55-59,000*-999*,7628
1987,female,55-59,000*-999*,7511
1988,female,55-59,000*-999*,7217
1989,female,55-59,000*-999*,7076
1990,female,55-59,000*-999*,6783
1991,female,55-59,000*-999*,6486
1992,female,55-59,000*-999*,6244
1993,female,55-59,000*-999*,6215
1994,female,55-59,000*-999*,5886
1995,female,55-59,000*-999*,5581
1996,female,55-59,000*-999*,5451
1997,female,55-59,000*-999*,5321
1998,female,55-59,000*-999*,5353
1999,female,55-59,000*-999*,5279
1925,female,60-64,000*-999*,23957
1926,female,60-64,000*-999*,23853
1927,female,60-64,000*-999*,23141
1928,female,60-64,000*-999*,22636
1929,female,60-64,000*-999*,24568
1930,female,60-64,000*-999*,22148
1931,female,60-64,000*-999*,21968
1932,female,60-64,000*-999*,22100
1933,female,60-64,000*-999*,22774
1934,female,60-64,000*-999*,22250
1935,female,60-64,000*-999*,23419
1936,female,60-64,000*-999*,23859
1937,female,60-64,000*-999*,23027
1938,female,60-64,000*-999*,23896
1939,female,60-64,000*-999*,22397
1940,female,60-64,000*-999*,25684
1941,female,60-64,000*-999*,22494
1942,female,60-64,000*-999*,21794
1943,female,60-64,000*-999*,20308
1944,female,60-64,000*-999*,23015
1945,female,60-64,000*-999*,20272
1946,female,60-64,000*-999*,18642
1947,female,60-64,000*-999*,18043
1948,female,60-64,000*-999*,17461
1949,female,60-64,000*-999*,18695
1950,female,60-64,000*-999*,17564
1951,female,60-64,000*-999*,18403
1952,female,60-64,000*-999*,17020
1953,female,60-64,000*-999*,17693
1954,female,60-64,000*-999*,16829
1955,female,60-64,000*-999*,16754
1956,female,60-64,000*-999*,17015
1957,female,60-64,000*-999*,16882
1958,female,60-64,000*-999*,15536
1959,female,60-64,000*-999*,15713
1960,female,60-64,000*-999*,15852
1961,female,60-64,000*-999*,15276
1962,female,60-64,000*-999*,16117
1963,female,60-64,000*-999*,16423
1964,female,60-64,000*-999*,15559
1965,female,60-64,000*-999*,15712
1966,female,60-64,000*-999*,15302
1967,female,60-64,000*-999*,15096
1968,female,60-64,000*-999*,15027
1969,female,60-64,000*-999*,15726
1970,female,60-64,000*-999*,14295
1971,female,60-64,000*-999*,13981
1972,female,60-64,000*-999*,13983
1973,female,60-64,000*-999*,13523
1974,female,60-64,000*-999*,12931
1975,female,60-64,000*-999*,12005
1976,female,60-64,000*-999*,10625
1977,female,60-64,000*-999*,9118
1978,female,60-64,000*-999*,8091
1979,female,60-64,000*-999*,7118
1980,female,60-64,000*-999*,7788
1981,female,60-64,000*-999*,9198
1982,female,60-64,000*-999*,10022
1983,female,60-64,000*-999*,11105
1984,female,60-64,000*-999*,11456
1985,female,60-64,000*-999*,11208
1986,female,60-64,000*-999*,11003
1987,female,60-64,000*-999*,10379
1988,female,60-64,000*-999*,10173
1989,female,60-64,000*-999*,10086
1990,female,60-64,000*-999*,9843
1991,female,60-64,000*-999*,9765
1992,female,60-64,000*-999*,9483
1993,female,60-64,000*-999*,9535
1994,female,60-64,000*-999*,9109
1995,female,60-64,000*-999*,8915
1996,female,60-64,000*-999*,8633
1997,female,60-64,000*-999*,8086
1998,female,60-64,000*-999*,7976
1999,female,60-64,000*-999*,7776
1925,female,65-69,000*-999*,30616
1926,female,65-69,000*-999*,30314
1927,female,65-69,000*-999*,29790
1928,female,65-69,000*-999*,30334
1929,female,65-69,000*-999*,33719
1930,female,65-69,000*-999*,29402
1931,female,65-69,000*-999*,31414
1932,female,65-69,000*-999*,30490
1933,female,65-69,000*-999*,30202
1934,female,65-69,000*-999*,28548
1935,female,65-69,000*-999*,30275
1936,female,65-69,000*-999*,28454
1937,female,65-69,000*-999*,28258
1938,female,65-69,000*-999*,29383
1939,female,65-69,000*-999*,28772
1940,female,65-69,000*-999*,34513
1941,female,65-69,000*-999*,31440
1942,female,65-69,000*-999*,30488
1943,female,65-69,000*-999*,29612
1944,female,65-69,000*-999*,32788
1945,female,65-69,000*-999*,29295
1946,female,65-69,000*-999*,26119
1947,female,65-69,000*-999*,25140
1948,female,65-69,000*-999*,24201
1949,female,65-69,000*-999*,27075
1950,female,65-69,000*-999*,25613
1951,female,65-69,000*-999*,26359
1952,female,65-69,000*-999*,24929
1953,female,65-69,000*-999*,25712
1954,female,65-69,000*-999*,24118
1955,female,65-69,000*-999*,23851
1956,female,65-69,000*-999*,24032
1957,female,65-69,000*-999*,23490
1958,female,65-69,000*-999*,22108
1959,female,65-69,000*-999*,22103
1960,female,65-69,000*-999*,22637
1961,female,65-69,000*-999*,21503
1962,female,65-69,000*-999*,23054
1963,female,65-69,000*-999*,23621
1964,female,65-69,000*-999*,22019
1965,female,65-69,000*-999*,22796
1966,female,65-69,000*-999*,22041
1967,female,65-69,000*-999*,22356
1968,female,65-69,000*-999*,22540
1969,female,65-69,000*-999*,23958
1970,female,65-69,000*-999*,21857
1971,female,65-69,000*-999*,21696
1972,female,65-69,000*-999*,21079
1973,female,65-69,000*-999*,20869
1974,female,65-69,000*-999*,20105
1975,female,65-69,000*-999*,20217
1976,female,65-69,000*-999*,19129
1977,female,65-69,000*-999*,17941
1978,female,65-69,000*-999*,17487
1979,female,65-69,000*-999*,16933
1980,female,65-69,000*-999*,15511
1981,female,65-69,000*-999*,14343
1982,female,65-69,000*-999*,12494
1983,female,65-69,000*-999*,10975
1984,female,65-69,000*-999*,9493
1985,female,65-69,000*-999*,10627
1986,female,65-69,000*-999*,12032
1987,female,65-69,000*-999*,13206
1988,female,65-69,000*-999*,14286
1989,female,65-69,000*-999*,15130
1990,female,65-69,000*-999*,14179
1991,female,65-69,000*-999*,14204
1992,female,65-69,000*-999*,13958
1993,female,65-69,000*-999*,14007
1994,female,65-69,000*-999*,13674
1995,female,65-69,000*-999*,13705
1996,female,65-69,000*-999*,13439
1997,female,65-69,000*-999*,13327
1998,female,65-69,000*-999*,12904
1999,female,65-69,000*-999*,12378
1925,female,70-74,000*-999*,37190
1926,female,70-74,000*-999*,36848
1927,female,70-74,000*-999*,35681
1928,female,70-74,000*-999*,35620
1929,female,70-74,000*-999*,40953
1930,female,70-74,000*-999*,35421
1931,female,70-74,000*-999*,38933
1932,female,70-74,000*-999*,38493
1933,female,70-74,000*-999*,39141
1934,female,70-74,000*-999*,36950
1935,female,70-74,000*-999*,38896
1936,female,70-74,000*-999*,38404
1937,female,70-74,000*-999*,37446
1938,female,70-74,000*-999*,38266
1939,female,70-74,000*-999*,37134
1940,female,70-74,000*-999*,44331
1941,female,70-74,000*-999*,37285
1942,female,70-74,000*-999*,37454
1943,female,70-74,000*-999*,36846
1944,female,70-74,000*-999*,41875
1945,female,70-74,000*-999*,38283
1946,female,70-74,000*-999*,35875
1947,female,70-74,000*-999*,35364
1948,female,70-74,000*-999*,33864
1949,female,70-74,000*-999*,38875
1950,female,70-74,000*-999*,35257
1951,female,70-74,000*-999*,36871
1952,female,70-74,000*-999*,34575
1953,female,70-74,000*-999*,36713
1954,female,70-74,000*-999*,33479
1955,female,70-74,000*-999*,34010
1956,female,70-74,000*-999*,35215
1957,female,70-74,000*-999*,34480
1958,female,70-74,000*-999*,32083
1959,female,70-74,000*-999*,31996
1960,female,70-74,000*-999*,32104
1961,female,70-74,000*-999*,30371
1962,female,70-74,000*-999*,32209
1963,female,70-74,000*-999*,33316
1964,female,70-74,000*-999*,30863
1965,female,70-74,000*-999*,32342
1966,female,70-74,000*-999*,31754
1967,female,70-74,000*-999*,32433
1968,female,70-74,000*-999*,32692
1969,female,70-74,000*-999*,35121
1970,female,70-74,000*-999*,32207
1971,female,70-74,000*-999*,32009
1972,female,70-74,000*-999*,31679
1973,female,70-74,000*-999*,32325
1974,female,70-74,000*-999*,31531
1975,female,70-74,000*-999*,31436
1976,female,70-74,000*-999*,30261
1977,female,70-74,000*-999*,28702
1978,female,70-74,000*-999*,28679
1979,female,70-74,000*-999*,27675
1980,female,70-74,000*-999*,27255
1981,female,70-74,000*-999*,26607
1982,female,70-74,000*-999*,25935
1983,female,70-74,000*-999*,25801
1984,female,70-74,000*-999*,24484
1985,female,70-74,000*-999*,22909
1986,female,70-74,000*-999*,20398
1987,female,70-74,000*-999*,17337
1988,female,70-74,000*-999*,15134
1989,female,70-74,000*-999*,13022
1990,female,70-74,000*-999*,14385
1991,female,70-74,000*-999*,16345
1992,female,70-74,000*-999*,18181
1993,female,70-74,000*-999*,19901
1994,female,70-74,000*-999*,21399
1995,female,70-74,000*-999*,21165
1996,female,70-74,000*-999*,21012
1997,female,70-74,000*-999*,20169
1998,female,70-74,000*-999*,20117
1999,female,70-74,000*-999*,19698
1925,female,75-79,000*-999*,41760
1926,female,75-79,000*-999*,42143
1927,female,75-79,000*-999*,42549
1928,female,75-79,000*-999*,40783
1929,female,75-79,000*-999*,46395
1930,female,75-79,000*-999*,37081
1931,female,75-79,000*-999*,41297
1932,female,75-79,000*-999*,39219
1933,female,75-79,000*-999*,40254
1934,female,75-79,000*-999*,39155
1935,female,75-79,000*-999*,42365
1936,female,75-79,000*-999*,42043
1937,female,75-79,000*-999*,41503
1938,female,75-79,000*-999*,44034
1939,female,75-79,000*-999*,43793
1940,female,75-79,000*-999*,52410
1941,female,75-79,000*-999*,44913
1942,female,75-79,000*-999*,45294
1943,female,75-79,000*-999*,43199
1944,female,75-79,000*-999*,48109
1945,female,75-79,000*-999*,43001
1946,female,75-79,000*-999*,37607
1947,female,75-79,000*-999*,38343
1948,female,75-79,000*-999*,36851
1949,female,75-79,000*-999*,44855
1950,female,75-79,000*-999*,42082
1951,female,75-79,000*-999*,47525
1952,female,75-79,000*-999*,43074
1953,female,75-79,000*-999*,47711
1954,female,75-79,000*-999*,43171
1955,female,75-79,000*-999*,43585
1956,female,75-79,000*-999*,45481
1957,female,75-79,000*-999*,43664
1958,female,75-79,000*-999*,41850
1959,female,75-79,000*-999*,42608
1960,female,75-79,000*-999*,43495
1961,female,75-79,000*-999*,41101
1962,female,75-79,000*-999*,44977
1963,female,75-79,000*-999*,46010
1964,female,75-79,000*-999*,41775
1965,female,75-79,000*-999*,43091
1966,female,75-79,000*-999*,41589
1967,female,75-79,000*-999*,42468
1968,female,75-79,000*-999*,43648
1969,female,75-79,000*-999*,45869
1970,female,75-79,000*-999*,43168
1971,female,75-79,000*-999*,43879
1972,female,75-79,000*-999*,43731
1973,female,75-79,000*-999*,44415
1974,female,75-79,000*-999*,43714
1975,female,75-79,000*-999*,44448
1976,female,75-79,000*-999*,44421
1977,female,75-79,000*-999*,42088
1978,female,75-79,000*-999*,42689
1979,female,75-79,000*-999*,41814
1980,female,75-79,000*-999*,42098
1981,female,75-79,000*-999*,42242
1982,female,75-79,000*-999*,40600
1983,female,75-79,000*-999*,41629
1984,female,75-79,000*-999*,39478
1985,female,75-79,000*-999*,39659
1986,female,75-79,000*-999*,38303
1987,female,75-79,000*-999*,36257
1988,female,75-79,000*-999*,35355
1989,female,75-79,000*-999*,34219
1990,female,75-79,000*-999*,31554
1991,female,75-79,000*-999*,28174
1992,female,75-79,000*-999*,24447
1993,female,75-79,000*-999*,21965
1994,female,75-79,000*-999*,18729
1995,female,75-79,000*-999*,21349
1996,female,75-79,000*-999*,24533
1997,female,75-79,000*-999*,27585
1998,female,75-79,000*-999*,30415
1999,female,75-79,000*-999*,33224
1925,female,80-84,000*-999*,35375
1926,female,80-84,000*-999*,34961
1927,female,80-84,000*-999*,34602
1928,female,80-84,000*-999*,33486
1929,female,80-84,000*-999*,38964
1930,female,80-84,000*-999*,31741
1931,female,80-84,000*-999*,37022
1932,female,80-84,000*-999*,35510
1933,female,80-84,000*-999*,36447
1934,female,80-84,000*-999*,33663
1935,female,80-84,000*-999*,35584
1936,female,80-84,000*-999*,35131
1937,female,80-84,000*-999*,33760
1938,female,80-84,000*-999*,36181
1939,female,80-84,000*-999*,37056
1940,female,80-84,000*-999*,46510
1941,female,80-84,000*-999*,39835
